epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
71,2663.79,0.43868,0.35736,0.92555,0.99807,1,0.995,0.96799,0.25489,0.18756,0.78496,0.00038375,0.00038375,0.00038375
72,2700.97,0.42371,0.35136,0.91778,0.99842,1,0.995,0.97374,0.23374,0.1754,0.77806,0.000371375,0.000371375,0.000371375
73,2738.24,0.40809,0.33992,0.91093,0.99831,1,0.995,0.97173,0.23292,0.1755,0.77178,0.000359,0.000359,0.000359
74,2775.96,0.42632,0.34778,0.92202,0.99848,1,0.995,0.97363,0.23822,0.17339,0.77601,0.000346625,0.000346625,0.000346625
75,2813.18,0.39978,0.32688,0.90335,0.99762,0.99966,0.995,0.97393,0.23643,0.17506,0.77078,0.00033425,0.00033425,0.00033425
76,2850.41,0.40766,0.33643,0.91607,0.9989,0.99616,0.995,0.97942,0.22968,0.16684,0.76611,0.000321875,0.000321875,0.000321875
77,2888.1,0.40853,0.34351,0.90531,0.998,0.99583,0.99492,0.97637,0.23053,0.17102,0.76413,0.0003095,0.0003095,0.0003095
78,2925.14,0.40356,0.32846,0.91089,0.99722,0.99927,0.995,0.97629,0.23673,0.17031,0.77221,0.000297125,0.000297125,0.000297125
79,2962.18,0.40476,0.32988,0.90849,0.98975,0.99721,0.99492,0.97328,0.24019,0.17343,0.77577,0.00028475,0.00028475,0.00028475
80,2999.48,0.3925,0.33441,0.90768,0.99783,0.99665,0.995,0.97595,0.22487,0.16913,0.76972,0.000272375,0.000272375,0.000272375
81,3037.21,0.39171,0.31026,0.90712,0.99837,0.99991,0.995,0.97653,0.23071,0.16489,0.77293,0.00026,0.00026,0.00026
82,3074.44,0.40782,0.32448,0.91414,0.99713,0.99936,0.995,0.97525,0.23233,0.15758,0.7674,0.000247625,0.000247625,0.000247625
83,3112.01,0.40093,0.3254,0.91343,0.9986,1,0.995,0.97548,0.23164,0.15861,0.7726,0.00023525,0.00023525,0.00023525
84,3149.68,0.39559,0.32169,0.91291,0.99829,1,0.995,0.97393,0.23328,0.15981,0.769,0.000222875,0.000222875,0.000222875
85,3186.9,0.39044,0.31726,0.90216,0.99905,0.99644,0.995,0.97386,0.23709,0.16024,0.7707,0.0002105,0.0002105,0.0002105
86,3224.1,0.38163,0.31201,0.90572,0.99666,0.99921,0.995,0.97449,0.22983,0.15882,0.77066,0.000198125,0.000198125,0.000198125
87,3261.4,0.38363,0.30935,0.91355,0.99753,0.99947,0.995,0.97686,0.23124,0.16356,0.76691,0.00018575,0.00018575,0.00018575
88,3299.12,0.38058,0.30546,0.90482,0.99893,0.99636,0.995,0.9737,0.22147,0.15389,0.76552,0.000173375,0.000173375,0.000173375
89,3336.29,0.3826,0.30394,0.9062,0.9985,1,0.995,0.97549,0.22681,0.15551,0.76783,0.000161,0.000161,0.000161
90,3373.55,0.37336,0.30719,0.90227,0.99874,0.99687,0.995,0.97736,0.22451,0.14764,0.76428,0.000148625,0.000148625,0.000148625
91,3449.64,0.21222,0.16915,0.78977,0.99733,0.99583,0.99496,0.97646,0.22393,0.14928,0.76237,0.00013625,0.00013625,0.00013625
92,3486.63,0.20321,0.15866,0.78648,0.99878,0.99726,0.995,0.97487,0.22131,0.14511,0.76161,0.000123875,0.000123875,0.000123875
93,3523.65,0.19825,0.15657,0.78642,0.99861,0.99759,0.995,0.97536,0.21928,0.14937,0.76171,0.0001115,0.0001115,0.0001115
94,3561.23,0.19743,0.15375,0.78602,0.99885,0.9974,0.995,0.97665,0.21903,0.1443,0.76086,9.9125e-05,9.9125e-05,9.9125e-05
95,3598.32,0.19499,0.14895,0.78013,0.99893,1,0.995,0.97748,0.21971,0.14584,0.76277,8.675e-05,8.675e-05,8.675e-05
96,3635.47,0.19393,0.14824,0.78248,0.99876,1,0.995,0.9777,0.21823,0.14649,0.76204,7.4375e-05,7.4375e-05,7.4375e-05
97,3673.14,0.19104,0.14544,0.78909,0.9988,1,0.995,0.97662,0.22233,0.14684,0.7637,6.2e-05,6.2e-05,6.2e-05
98,3710.15,0.18589,0.14219,0.78218,0.99871,1,0.995,0.97544,0.22153,0.14427,0.76334,4.9625e-05,4.9625e-05,4.9625e-05
99,3747.17,0.18253,0.14156,0.7855,0.99833,1,0.995,0.97522,0.2191,0.13928,0.7632,3.725e-05,3.725e-05,3.725e-05
100,3784.21,0.18238,0.14009,0.78408,0.99819,0.99988,0.995,0.97674,0.21765,0.14236,0.76362,2.4875e-05,2.4875e-05,2.4875e-05
